review_text,review_posted_date,review_header,review_rating,review_author
"Worst product of RedMi, don't purchase, Hang problem, lagging problem, and back & home touch keys in screen itself, not user friendly some time.. Bakwas product do not purchase, 2gb ram is not working.",02 May 2019,Do not purchase,1.0 ,abhishek doundkar
"Xiaomi after getting good response in india after 2 years, started showing its actual chinese behaviour by compromising its phone's quality. Each & every part in mobile is of cheap quality, the whole redmi 6 series is pathetic & useless.",16 Oct 2018,Cheap Quality,3.0 ,Harshil
"Received the phone in a brilliant packaging. Phone box was also without any damage in corners. The phone feels really simple and light. Can perform with ease when using light apps and functions. BUT NOT SUITED FOR GAMING. But I don't play games, so it doesn't matter to me.",22 Jan 2019,Wonderful phone for simple and light usage.,5.0 ,Sasikanth Tadimalla
"If you are looking for a smartphone with less budget. It's a great choice. I will not say it is best for gaming. You can use it for small size games.Face recognition is not that great but good. Battery is awesome and has an average screen display, when you play 360p, you will feel like playing the video at 240p on a smartphone with AMOLED display. Camera is just okay.This phone laga a lot, but it's okay for this budget.",29 Jun 2019,Hmmm. It's okay,4.0 ,Preetha
It might be light wight but that is because it hardly uses metal. The phone looks cheap.. due to the white border in the front. For me the lenovo k6 power was better which i had earlier. It could bear the hits on the ground and still work for months.,09 Nov 2018,Looks Cheap due to white border,2.0 ,Arun P
Awesome phone from Redmi in 7000 margin. The most I liked that the phone has dual VOLTE option. We can use two JIO sim together.,09 Feb 2019,Very good phone,5.0 ,Shuvankar Bhadra
Do not purchase it because battery of it so bad . I have ordered and purchase redmi 6A MI for my father from amazon. But after getting when I opened it for use. It's processing so too low. Battery of it so bad. Charging take 3.5 hour to complete and consume instantly. My father is so worried about it. video calling image too blind. Request to return it and refund amount to source.,17 Jan 2019,Don't purchase any mobile from amazon because battery of all mobiles have dead.,1.0 ,sumit kumar
"I like Redmi phones for their cheap price range and better quality. I have order it for my mom. Over other phones in this price, 6a is far better. Battery quality is quite good. It needs work on face recognition feature It Worth every penny.",23 Apr 2019,Best budgeted Smartphone,4.0 ,abhi sharma
"We spend a lot of money on mobile but believe me there is no work you can't do on this phone, you dont need RAM to install any app, RAM is needed to run the app in background or say multitasking hence in this phone you have to kill background processes everytime that's it",12 Feb 2019,Nice phone with no complaint after using for more than 1 month,5.0 ,Anil sikhwal
I gifted this to my brother and it turned out to be defective. Sim slots stopped working after 2 weeks and service centre are charging 6000Rs. for this newly purchased phone.,17 Jul 2019,Defective piece,1.0 ,Amazon Customer
Budget oriented cell phone Camera imporved from 5 series. Battery is overall good Screen size good in this price. Sound quality in loudspeaker is little weak but u cant have all in this price segment. Overall best phone for normal users. Dont go if u have heavy use so choose from higher mi series.,25 Oct 2018,Good as per price,5.0 ,Astro
"Battery is very low for frequently users of internet... Not for gaming... Not ideal for parents as well as us, millenials Because of low battery and bad processor Phone is fragile.. Screen breaks.. Just by a little fall... Don't expect it to be like Samsung, Nokia Buy if you want a name sake smartphone go for iT Pubg will work... With really bad battery life",20 Jul 2019,Nothing works except camera no even battery,1.0 ,Amazon Customer
Worst phone i ever bought. Within 3 months software and touch problems developed. The phone itself touches various apps and automatically calls someone and hangs itself. Can't unlock at times. Display shows shivering and apps operate themselves. Worst phone. Nit recommended.,09 Jul 2019,WORST PHONE,1.0 ,Amazon Customer
Good product but processer is not good as Qualcomm processer.,23 Sep 2018,Avrage product,2.0 ,Rakesh Kumar Nayak
"Please don't buy this low quality mobile, it's so pathetic. I bought as it is lower priced but I have learned a lesson not to buy lower end mobile. The mobile is very slow and poor performance.",19 Jun 2019,Low quality,1.0 ,Nagappan
"Box contents: - charger, manual, sim ejector tool and datacable Merits: - face unlocking, udated miui, beautiful rear and front camera... Demerits: - fingerprint not available. No stock android Overall this is best phone under this price range...",13 Dec 2018,Best phone under ₹6000,5.0 ,Ashish
"This is worst product from mi which I used so far. Xiomi has proved this that its a Chinese company and they made cheap products. I got this phone today. Is amazon delivered it in 1 week. Poor performance. Display quality very bad Speaker useless, you can't hear bell. Camra is like vga. Getting heat. Getting hang. It has no remote. Feeling very bad. I m not going to purchase any products of xiomi in future. I lost my 7k by purchasing this device.",13 Dec 2018,Bad product ever,1.0 ,praveen kumar
Very nice product in affordable money. Camera quality is very good Battery life also!,10 Jun 2019,Good Mobile,5.0 ,Happy customer
"Good product, in perfect condition, good features. This product is worth buying. If you are thinking whether you should buy this product or not, i suggest that you should go for it.",14 Jun 2019,Satisfied with the product.,5.0 ,Maria
This mobile is just like a toy. Very small and deceiving look by MI. Not a good buy at 6500/-. There are other better options available only by increasing 500-1000 Rs. One important thing is...you cannot return after getting delivered at your home. So please think twice before placing the order. Or Please visit MI preferred partner outlet to see the mobile first. You will outrightly reject the mobile once you see it. Thanks,09 Apr 2019,Mobile is very small with very slow processing speed.,1.0 ,Chirag Malik
"Satisfied with the overall product considering the cost. The max volume is a little low. The back, home, active apps buttons are a little small. Hence affects the overall ease of use.",19 Nov 2018,6A,4.0 ,Pushkar P.
It's a nice budget phone with all the necessary functionality. Battery is good and can easily last for a day and half at normal use. I used it as a secondary device and it works fine for me.,24 Feb 2019,Good Budget phone,4.0 ,Talha
"A very good product in this price. Since beginning, Redmi products are very good. I m still using 'Redmi' with 1GB RAM and 8 GB memory for almost five years. Still working excellent. I use it for everything i.e. every task related to Internet.. banking..ticketing..surfing different web portals etc.",19 Dec 2018,A very good product,5.0 ,Rajender Prasad
"The phone matches the company description to the point. Easy handling and good performance, no overheating. But need to handle with care as simple drop can cause hardware problems, my phone speaker was not working after accidentally phone getting knocked on door, luckily the speaker connection was restored when i tried to connect a usb cable to phone.",12 Dec 2018,"Matching up to the description, should handle with great care for long use",5.0 ,Abhijith
"At times performance might be low. Will not handle heavy games. But for calling, light browsing and YouTube this is great. Camera is ok ok. Performance is ok. Can't expect anything more for 6k",27 Jan 2019,"For 6K, look no further",5.0 ,K
At this price point the redmi 6a is a pretty decent device. Overall good performance and I have to say that it has a gorgeous design. Helio a22 can handle regular apps pretty well...although the device isn't made for heavy gaming. Bought this for my mom and the product was delivered under 3 days with good packaging.,17 Nov 2018,It's definitely worth the money,4.0 ,Baban Sengupta
Many Reviews are already being posted by diffrent users and when i read them i decided to purchase this phone. very nice phone in budget go for it.... will update about its performace when i used it for some tym.,06 Jan 2019,Very Nice Phone,5.0 ,Ankur Shrivastava
"PHONE IS GRATE BUT ""DELEVERY BOY SAY IF YOU PAY VAI CREDIT CARD THEN AMAZON GIVE YOU RS. 500 GIFT VOUCHER "" THEN I PAY BY CREDIT CARD. DATE OF THAT PURCHES IS BEFORE THREE MONTH S BUT STILL I HAVEN'T GOT ANY TYPE OF GIFT CARD. AMAZON TRY TO GAVE ME MY GIFT CARD AND IF IT IS A FRODE THEN KEEP IT IN NOTE.",20 Jan 2019,DELEVERY BOY CHEAT ME,5.0 ,Bhargav
Ad in native UI is not a good idea for a smooth software experience. It's irritating and you have to turn it off manually for every application. Phone quality is good but it's lagging in user experience while concerning ads in native UI.,31 Jan 2019,Ads in native UI is irritating,3.0 ,kaushlendra
Real bummer product from Xiaomi Battery discharged super fast. Touch screen hangs and gets non responsive. Sound isn't as log as Redmi Note 4 Within 1 month of purchase have to take it to service centre and even the exchange price is close to 1800 for a 6000rs. Phone.,14 Jan 2019,"Small price , bad performance",1.0 ,Sid
"From the moment we got this phone it would not charge. Took it to the Redmi service centre and they did something to it which prevents it from accepting the SIM card. Wish i could return the phone., but even though it's under warantee, Amazon is not letting me return it and Redmi is not giving us a new phone either. Terrible terrible experience.",18 Dec 2018,Phone does not work. And I want to return it,1.0 ,Radha Thomas
Box is scratched,27 Oct 2018,Box is open,4.0 ,swapnil dighe
Loves mi mobiles and have recommended to many friends and relatives but little bit disappointed from new mi phones because of internal memory pre-usage. Means it says 16 gb internal but in reality we get only 8 or 10 gb..that's irrational and disappointing and if you ignore that then it is an economical extra features phone.,19 Nov 2018,Fine but not finest if it's about internal space pre-usage..,3.0 ,AMIT SAVITA
Lots of bloatware some of them are cant be uninstalled... Other than that Build quality is good Light weight.. Screen quality is good.. Sound is good camera is average but not bad... Processor is new..dual volte is key feature... Overall a good deal Fingerprint sensor is not there...,16 Oct 2018,Good option under 6k,4.0 ,sandesh
No need to think buying this phones as it has almost all the things required to be there in a good cell phone and it justifies the money spend on it. Overall a very compact and good phone to buy. Worth It.,17 May 2019,Superb Phone,5.0 ,Amazon Customer
"Mi 6A is note good, This product is many times hang a day. We have 05 Mi products (like note 4, A1, 05A, Y3, 6pro) different different series in my family. All set are good but 06A model is very bad. Mostly camera and hanging problem. We want to Mi Product Department for not loose his Goodwill because we trusted. I hope next time mi any series launch the best. Thanks and Regards",03 Jul 2019,"Not Good, Hanging Problem and Camera quality bad",1.0 ,Sanjay Chaupal
Superb product. Very best performance. Only issue is return policy for mobile is only for replacement of product and its also on condition if amazon engineer after checkup found it is necessary to replace. No return request available with mobiles........ i want to replace it with 3 or 4gb ram mobile of mi.. . But not possible after i recieve product.....,07 Jun 2019,Return policy regarding,5.0 ,Vikram Singh
Handy hand set with 2 GB ram and 32 GB ROM. Battery back is good. Camera quality good. Features are best compared to similar other brand android phones available in market. Worth for the money.,12 Apr 2019,Owesome,5.0 ,Balan
"Compare to 5A which is upgraded. Good for Beginners, Ladies, Aged people's. Not suitable for youngsters and office people's. This is basic Android budget phone, don't expect more than this. Only one drawback is Finger print missing. If MI will add this feature which will be the best in market. So, wait for 7A release.. Value for money. Thank you MI and Amazon guyzz..",26 Jan 2019,Good for normal users.,4.0 ,SuREsHKuMaR
"It has too many high qualifications features and the hardware is not capable of handling the load. Phone hangs too often. Google assistant starts and stops working randomly. Lags while using apps like maps, Netflix etc",02 Jun 2019,Redmi 4a is way better,3.0 ,Aakanksha Dimri
Very good product. Always the build quality in Redmi is good .face recognition is slightly slow.battery back up also slightly low .after using 1 month .the phone is good .the camera is good the picture quality is ok .,19 May 2019,"Good phone ,not much problem at all",4.0 ,ASIFKHAN S
Would not recommend this phone to anyone because there are so many on screen advertisement that sometimes it becomes difficult to even unlock the phone or use the phone properly. Tried turning off the ads using tutorial but still it's not working and as soon as I open my phone there are 3-4 ads waiting to be shown. It is very frustrating and makes the phone literally slow and useless,14 Jun 2019,Pathetic Phone - Multiple On Screen Advertisement,1.0 ,Chirag Khajanchi
When i ordered this phone for the first time i received this phone with its seal open as you can see in the image 1 Then i requested a replacement... They sent another redmi 6a Today i have received the product again... When i switched on this phone for the first time it kind of get hanged for sometime then when i was about to enter the sim ... Opened the sim tray 2nd... It was damaged as you can see in image 2,21 Apr 2019,1st order- Received Open Box. 2nd order(Replacement) Sim Tray damaged 😡,2.0 ,SHWETANK
Ok for this price... No other companies providing this feature at this rate... Those who need just a smart phone for use they can try this,15 Nov 2018,Ok,4.0 ,Gowriganeesh
"The phone was a gift to my wife. She is not a tech savvy lady. Only uses whatsapp and FB apps from her smart phone. The product is not bad performance wise. Picture quality is fine. Since we don't require much storage for apps n games, so it's fine for us. Sound is not louder enough. Since the sound outlet at the back side, the sound gets suppressed if the phone is kept backside down. Overall experience is not bad as off now.",01 Feb 2019,2 weeks experience.,4.0 ,Amazon Customer
This phone is realy very very good phone Its camera quality is superb sound is so good filter sound no noise at all. The battery back is also good 2 days without any difficulty Must purchase this phone in economy rate also. Processing very fast & finally in Redmi group its number one cemera quality All persons those see the photos they life very much,27 Jul 2019,Ek dum LLANAN TOP,5.0 ,Amazon Customer
PRO: 1. Slick design and low weight 2.Camera is very good 3.Display hd+ ..worth it 4.Miui..user friendly CONS: 1.Battery life is poor..but will last 2 days on standard use 2. Under sun it's hard to see the display 3. Sound quality is a little low...but no problems hearing via call Overall a very good budget phone at this price. Now let's see how long it lasts.,03 Nov 2018,Nice for a starting phone,4.0 ,Amazon Customer
Good mobile,06 Jun 2019,Good,5.0 ,Rahul.Peesay
"Guys I would like to give zero rating for this, as I don't have it so left rating blank.i got this mobile delivery on 26th January, today it's Feb 13th and my mobile is not working and my return window is closed so I can't return now so technically they designed mobile to work for 20days so that they won't return and then they leave problems on customer. Don't buy this better go for lenovo it worked for Me without any problem for 3 years.",14 Feb 2019,"Zero quality, zero rating",1.0 ,venkatesh
"Sound Quality is very poor as even on high volume the phone’s ringtone is very audible. The only reason why I bought this phone was due to MI’s reputation of good battery performance which failed to deliver as even after the phone usage is hardly for an hour, it requires charging the next day as well & for the battery to be fully charged, it takes too long. No Value for Money even though it’s being sold for cheap",09 Dec 2018,No Value for Money,2.0 ,Preet436
"Guys please don't waste your money, it the worst mobile I've ever come across. Amazon has new policy which is against us that is we can't return the device if we're not satisfied with performance of the device we purchase its better to purchase from showrooms.",11 Apr 2019,Unable to return and buy a upgraded mobile phone.,1.0 ,Santosh
Super mobile good finishing,12 Oct 2018,Good,4.0 ,HARISHA
"For this budget, redmi giving us a value for money product 1.Dual Volte is working fine and call quality also good. 2.Face ID is working fine. 3. Camera quality in Day light fine. Certainly not for low light, for this budget it is ok 4. Light weight 5. Lot of bloatware apps in Phone may be avoided 6. Jio in both the SIM working fine. 7. IR blaster not available in Phone. Only major disappointment for me",13 Oct 2018,Just Go ahead!- Redmi 6A,5.0 ,JAWAHAR G
"Dear All, I am using iPhone, but when i need other phone then i purchased Red MI 6a. When i started this phone i was shocked. This phone is asking access of our contacts and image every time and same uploaded on chinese server. My friends just think about that- why video player need contact access ? But in this chinese phone each and every inbult application is asking permission of your contact every time. So please do not go for it.",01 Feb 2019,upload you personal contact and image on China server,1.0 ,Bhai JI
Quality product at an affordable price. Battery life average. Mid range good phone. Camera above average. Processor is also smooth. Must go for it if your budget is low,18 May 2019,Quality product and feature,5.0 ,Rahul
"After 15 days can't turn on this smartphone , i Amazon replacement for 10 days but i crossed 15 days , I need to go mi Service centre . But my near Service centre is 150 KM so not possible to go",26 Apr 2019,After 15 days not charging and can't turn om,1.0 ,SAGAR SAWANT
Good,27 Sep 2018,Good phone for middle class families...,5.0 ,Rajesh Joshi
"I like for it's have a finger print reader and it's performance was nice about approax 0.56 sec. Opening time..and it's have also a face recognition so, it's was good for me and talking about performance this mobile so,it was not a very better but good....but it's have one dislike things and who is his speed was not a very better as I wish.... but the mobile was great as it comparison of this range.....",10 May 2019,About internal and external of this mobile phone....,4.0 ,Tushar Singh Bisht
Battery performance is less It is strucking more Display performance is low Improve camera Low processor It getting Android is stopping error More problems,05 Dec 2018,Please replace my mobile,1.0 ,venkatswamy828
Every time hanging the mobile and face recognition not working properly and also pattern lock not working... Even my mobile locked with pattern lock it will not open the lock 7th time it will open... I am not satisfied with your Red mi phone...main problem is hanging hanging..,24 May 2019,Not good mobile,2.0 ,sanjeev s.
"Now still well (1 month running) Good phone, very trustable U can buy it Features as well as given 👌👌👌",27 Oct 2018,Best choice in lowest price,5.0 ,Agniv Chowdhury
I gave this to my mother and she is happy using it. The picture quyis realynice according to this price range. Battery is really good. And other things are not that much needed by my mother. Screen quality is nice too .nice resolution and video quality.,10 Nov 2018,Perfect gift for parent,4.0 ,Avinash Rawal
Quite a descent phone at this range. Loving it. Sound is good. All basic and necessary features present in the phone. Absolutely wonderful for first time smartphone user.,09 Apr 2019,Fantastic startups,4.0 ,Achintya Dutta
Fone is missing in box only delivered charger,30 Nov 2018,Fone is missing in box,1.0 ,Amazon Customer
The speaker is not working properly. Whenever anyone calls me I can not hear his/her voice clearly. I wanted a replacement but they denied that.,17 Oct 2018,Don't buy,1.0 ,Amazon Customer
Although we know redmi handset has something different like proble start arising just after the warranty period lapse i.e after 1 year but then too I am giving it five star as in this price range no other mobile can beat it.,23 Jul 2019,Go for it.,5.0 ,Arman
Bahut accha mobile hai camera quality very good Dekhne Mein Bhi stylist hai battery backup 3 MH very good battery backup is divisor main bahut khush Hoon thank you Amazon team,13 Feb 2019,I am happy,5.0 ,Kishor Kumar Joshi
"Pros: 1.good battery backup 2.easily fits in hand 3.multi tasking is also good 4.camera average Cons: As comapared to redmi 3 which was launched at same price as redmi 6a, redmi 6a is little bit laggy... No snapdragon so gaming experience is not good",30 Apr 2019,Really Good,4.0 ,Abhishek kadam
"In just one month the device is not working, quality of the device is below par, don't go with Redmi's any electronic equipment. Try to invest some more money than to choose Redmi...Pathetic customer service, no one helps you out.One time the equipment stops working, it will not be supported by Redmi customer care service.",29 Jul 2019,REDMI's worst device,1.0 ,Vishal bari
"Display is very poor Led reflection on screen I AM USING ALL MODELS OF REDMI LIKE REDMI 4, REDMO 4A, REDMO NOTE 3, REDMI 5A, BUT REDMI 6A IS WROST PHONE I EVER SEEN... DONT WASTE MONEY...",11 Jan 2019,Poor,4.0 ,RAVI JAGANI
"Very dissatisfied. Not even a month and phone is not functioning properly. Videos disappear suddenly while playing, screen keeps on flickering without even touching and while there is incoming call making it very difficult to receive calls, call gets dropped suddenly. Just wondering where or to whom to make a complain. Please help.",16 Jun 2019,Dissatisfied customer.,2.0 ,rembemo kithan
"Got delivered in 5 days(ordered on 10th 6pm received on 16th 9:30am). It's smooth and easy to use. But the sound is too low. In 16 GB, 6 GB gone for system apps and other. 10.5 only there. The sound is totally disappointing.. very low, can be heard in Library with full volume, hope so.",16 Oct 2018,Low Sound,3.0 ,Sethu
"Received the Redmi 6A, as it is promissed in description. Another fantastic output from Xiomi India Plant. Made in India words gives astonishing experience as an Indian.",25 Sep 2018,Another Value to money product from Xiomi!,5.0 ,SREENATH A
"First of all theres no fingerprint reader in Redmi 6A. So no review about it. 3000mAh battery is enough for playing low end games like CoC or candy crush but not recommended for users who plays PUBG. Face recogntion is too fast,and I like about it. My brother was very happy when I bought it for him. Now I buying it for my whole family as a gift for Eid.",23 Apr 2019,Best Smartphone under 6K!,4.0 ,Sajid choudhury
"I have been using the phone for 2 months and there are too many adds promoting in the notification bar, which causes more irritations. Otherwise the phone is good one",18 Jan 2019,Too any ads while using the phone,3.0 ,Agin.P
Using 2 GB RAM for 1.4gb system used by android is poor ram management. Even adjustable if it's stock android. Phones must make 3gb minimum Ram or Google should reduce such in upcoming os.,24 Jul 2019,Illogical,3.0 ,Sra
"Don't fall for this phone. Within one month use of this phone, it starts hanging. Often gets screen blackouts on itself. Camera doesn't work many times. Screen touch has become insensitive and sometime it becomes extra sensitive . Picture qlty: Poor Performance:Poor Sound quality:Poor Overall Rating: 0/5 (and I mean it) Don't waste your money on this phone. Its a trash.",16 Feb 2019,Worst Choice. Regretting,1.0 ,Vikas
The phone is not up to the mark.. As I have seen all the rating and all... And i thought I will get a good deal but seriously this phone is waste of money... And software problem and app stops in between and many other problems its better is add more money and buy good phone. Storage is very much low after having memory card still i face same issue... I advise you to add more money and go for good fon,27 Apr 2019,True review,2.0 ,deepak yadav
"Its a nice budget phone . Product box came with no plastic lamination covering, but the seal was not brocken. Camera is good . Design is good . 2 GB Ram is enough for normal use. 1080 P at 30 fps video recording. Processor is ok at this price . Littlebit of heating when using internet. Auto screen brightness is sometimes failuring. Battery is 3000mah its need improvement. Packing need imrovement.",15 May 2019,Its a Very Nice Budget Phone...,3.0 ,ANEE****
"Quality is good but having some problem in settings. Phone is not like other models of redmi like redmi 4,5,6 or node 4,5,6 or main thing is it don't have snapdragon processor.",18 Jul 2019,Good product,4.0 ,Animesh Roy Choudhary
The phone looking really good and overall the build quality is good Battery good for normal uses if you are interested for gaming smartphone then this smartphone is not for you And the smartphone is a. Budget range smartphone under 6k ... If u r looking a unboxing video then checkout my YouTube channel - Tech 2 Inside,09 Apr 2019,Budget range smartphone,4.0 ,suryapal
"Bad Camera quality, low sound and memory issue. Within 3 months of buying this phone, I am unable to install new apps as its 16 GB memory is filled with its own internal softwares/apps which can't be deleted. Unhappy with the product. Speaker and call sound is very low.",15 Jul 2019,"Bad Camera quality, low sound and memory issue.",2.0 ,Ganesh Karakoti
"Bad phone simply bad better spend some more money and get a better one. There are so many ads it's just annoying, however if you simply need something in this price and can't go more then this is the phone for you, ofcourse if you need an android smartphone.",18 May 2019,Not good too many ads,2.0 ,subham saha
Great phone at this price range You can't expect more from this price range So just go for it And delivered to me 6 days before from expected date,18 Oct 2018,Value for money,5.0 ,PRADEEP SINGH
Wow Yaar it's looking so good and performance is awesome.. Over all good,22 Sep 2018,Awesome,5.0 ,vajahat ali
"The picture quality isn't that good but its quite average..The sound quality is average too and battery life is good. The most lovely thing about this smartphone is the look and it looks really good in hands also it feels good holding it as it has a metal body. At this price range, its awesome and quite good for your parents. I bought this for my mom.",07 Mar 2019,Best in this price range!,4.0 ,Amazon Customer
"I took this phone 12 days back... While on call, it will go blank for 5-30sec. Neither you nor other person can hear anything during this time... It just started on the last day of return period, by the time we realized n thought of returning phone, grace period got over. Neither we can return it now nor phone is functioning properly.. waste of money, effort n resources.",20 Dec 2018,Phone is faulty,1.0 ,Ramkishore middela
"The product has less RAM/ROM - which results in getting slow upon extent use of memory/when multiple apps are used. For basic utility - please go for it. It has face unlock, decent camera, sensitive touch - for the price of 5999. Mobile is worth at that price and for basic usage.",01 Jan 2019,Decent mobile with base price,4.0 ,Tarun Dronamraju
"Nothing to complain for the price.., gets the job done... good for retired people/housewives! Wish it had the IR blaster which previous models had!",09 May 2019,Good for the budget!,4.0 ,Ayan
Ok product at this price. But now alternative are available. Looks are good. Face unlock is not that great. It unlocks for me as well as for my brother even if his face is not registered 😝. It comes with annoying number of app most of which can't be uninstalled.,18 Nov 2018,Good but better alternative are available now.,3.0 ,Omkar
Worst redmi phone Don't buy this this is not a true successer of redmi 5a,02 Oct 2018,Not worth buying,1.0 ,Harshit yadav
I purchased this for my mother who is a first time user of smart phone. MIUI is comfortable. A good budget phone by Xiaomi. It has a good battery life almost 3 days life. Pictures quality is also good at this budget price. A little disappointing Sound quality side since speakers are kept on back side of the phone.,26 Oct 2018,A great budget phone by Xiaomi..,5.0 ,R. MURARI
"Dull display, Horrible low light camera, Sound less, Bad in looks too. I have used REDMI 4A, 5A, so can say that redmi 6A is worst phone from redmi... Take it just for calling and youtube use... Nothing else..... Just an average average average phone.",29 Apr 2019,Just an average phone,2.0 ,gaurav anand
Nice phone for in this budget.Rear camera is amazing and selfie camera is average. Ringtone volume is just low. Call quality is good.i never Expect this phone it's dual 4g network. overall performance is good.,12 Oct 2018,Rear camera is amazing.,4.0 ,abdullarafeek
I got it on deal and not to mention it is worth to have in such price. Camera and touch quality are good. Not sure about battery life but overall good product.,04 Jun 2019,Best budget phone,4.0 ,Nikky
"The battery life is very poor. Battery drains very fast. In morning I charged the phone 100% and by EOD the battery life dropped to 5% without usage. Since the phone is used by my mother, their is no internet or applications running Inspite of that the battery drains very rapidly.",22 Jan 2019,Poor battery 🔋 life,2.0 ,Teena Sharma
Amazon gave me a very best service and trust worthy ..redmi 6A is one of the best phone in redmi series that no other company phones doesn't have such features for a same amount like redmi. I am very thankful to redmi for introducing new features every time at reasonable prices ..guys u can buys this product nice and extremely good but fault is that in picture u have shown us dual camera that's wat I surprised .,23 Nov 2018,Excellent product,5.0 ,Shubha Naik
"Worst phone, I bought it and returned it the very next day. It lags so much during the major apps like YouTube, chrome, google search engine application and more. Don’t buy, complete trash it is.",28 Jan 2019,Negative appreciation,1.0 ,Mohd. Junaid Khan
Not that good.... don't like the advertisement coming all the time in the MIUI operating interface....it's a nuisance.,15 Nov 2018,Not worth the money,3.0 ,Amazon Customer
Xiomi phones are the best low budget phones available in the market. Brought it for my sister and its been working since 3 years. I brought this one for my maid and the product is just perfect. It has all the features a phone could ask for,14 Jun 2019,Budget smart phone,5.0 ,Sakshi jain
If u can increase a 1000 more in your budget there are better options . I bought this phone abt 3 to 4 months .interesting how things when great products are itroduce by 7000ra range,19 Aug 2019,Increase your budget a little,4.0 ,Abishek
"Got it on 29th March, 2k19. Much much better than redmi go better RAM better ROM better big display and smooth in playing all stuff under this Redmi 6A. Got it on offer time 5999/- with amazon cashback 499 Rs. In amazon pay thank amazon for the great product and the offers.",30 Mar 2019,Better than Redmi Go. Don't think just go for redmi 6A.,5.0 ,Vicky Vengurlekar
"Well truly speaking I like this product once come into my hand very lite and slim of it's design and camera with advance features of face decorations, battery stand by is good but I'm expecting that in coming days redmi should bring more or same 4000mah battery life in this budget price sounds are also amazing I think it's value for money and when I booked the phone I got it delivered very next day so the service is also good..",03 Feb 2019,Nice and Smooth,4.0 ,AB Qader
Slow ringtone problem bcoz the speaker is in backside. battery is very powerful. afterall the phone is better then redmi 5a,26 Oct 2018,Thanks mi,5.0 ,Arjun Singh
"Overall good budget phone. Picture qulaity is not very good but satisfactory, one cant expect good camera phone at this price. No lag observed on average usage and battery also lasted one day. Sound quality is good and even display is fine.",24 Feb 2019,Good budget phone,4.0 ,ak
"Camera quality is good at the price level. And the 3000mah battery keeps it going a day easily. Have been a bit reluctant to use face recognition, but tested it. Works okay, but lags a bit at times. Lightweight and the corning gorilla 5 is smooth and robust. Worth purchasing if you find a decent discount or cash back offer.",07 Jul 2019,As always worth the money. Shows why it's the most selling brand,5.0 ,Amazon Customer
"Best phone with value for money tag in its price range. Simply awesome. Don't expect super performance, but it does its duties very well.",10 Feb 2019,Best value for Money phone,4.0 ,Simplyhemu
I am writing third time of my review but till now there is no action from Amazon team Delivered repaired phone which soft ware not working properly,13 Apr 2019,Not get support from Amazon,1.0 ,kailash
"Nice mobile in this category, I checked 10 mobile in category but this is best in my knowledge. Satisfied with picture quality, design, body, look and battery life is also good.",11 Jan 2019,Best for me....,5.0 ,Piyush Rawal
"The charger is not working at all, not sure if Testing is done properly. I have raised a complaint and waiting for the technician to come and certify it, after that not sure what’s the next step?",07 Nov 2018,Charger is not working,3.0 ,Deekshitulu
"redmi 6A, budget smartphone, it is featured with decent camera and screen size, sound quality is good but speakers are at back side which sometimes interrupt your enjoyment while listening music without earphones, battery charges fast but drains also fast, may be it is due to its mediatek procerssor. overall for a light mobile user, it is a best option.",23 Nov 2018,good budget phone but above average performance.,4.0 ,Amazon Customer
"Miui is way to heavy for its hardware... Lots of blotware which cannot be y Uninstalled... Ads everywhere... The hardware is good for the price, so a custom ROM is recommended...",20 Jun 2019,Okay,3.0 ,Santosh Shriyan
Good looking phone and grip in hand very well. Battery performance is good. Little issue in lagging.. and display is only hd .. but overall experience and performance on this phone is great at this price range.. I'm happy with this phone . Thanks. Amazon...👍😀,11 Dec 2018,Good looking phone at this price.,5.0 ,ravi r.
"It's worst phone i have ever purchased. 1) Touch is not very responsive, some times it does not work. You have to click multiple times. 2) Most of time it's stops reading SIM card for single slot. 3) Mobile itself is very slow. I am sure there would be a lot that i didn't noticed yet.",02 Jul 2019,worst phone i have ever purchased,1.0 ,Ashutosh
"It is a good product at this cost. If you dont use many android features, go have it , though it has some limitations.Battery lasts long and it is sturdy. It gets slow after a while if you use a few more apps . 4G too works much better better on the higher versions. Than you can't see the screen in sunlight.",26 Apr 2019,Getting outdated,3.0 ,Mrinal Pant
"Thumbs up for all the features described for this mobile. Great Battery back up, good camera, smooth operations. Very satisfied customer to both Xiaomi and Amazon.",22 Jul 2019,"Used 3+ months, great mobile at budget price",5.0 ,Raghuveer
"It's very bad phone redmi 6a. Because ye bahut slow or hang karta hai, agar koi apps kholne hai to 1-2 minute me open hoga, Or agar 4-5 aapse run karane ke bad bad phone kam Karna hi band kar deta hai. Or bhi apps kholo recovery karega 2 min uske bad slow Process me aaya. So EVERY ONE REDMI PHONE FULLY FALTU KA PHONE HAI ISKA PROCESSOR BHI GANDA HAI YE SIRF LOG KO CHUTIYA BANA RAHA HAI, I HATE REDMI 6A",14 Jan 2019,"Redmi ka processor VERRY LOW, SLOW, sabse ganda, bakbass hai",1.0 ,Amazon Customer
"TLDR: An okay product designed for people with low to moderate phone usage. Frankly speaking, this is a mediocre product at best. The camera is okay, the sound quality is good. The battery life is poor. However this phone sports a simultaneous dual VoLTE standby at the cost of extremely heavy battery usage and phone heating. Note that this product does not include headsets.",30 Nov 2018,"Considering the price, it's good. Otherwise it's bad",3.0 ,Gourab
